ref_id,resstock_type,matched_bldg_id,peak_kw
1,Single-Family Detached,27719,8.424920082092285
2,Multi-Family with 2 - 4 Units,13035,2.3756000995635986
3,Multi-Family with 2 - 4 Units,13035,2.3756000995635986
4,Single-Family Detached,8328,2.460400104522705
5,Multi-Family with 2 - 4 Units,85457,2.0810399055480957
6,Single-Family Attached,2125,1.2161200046539307
7,Single-Family Detached,48041,6.754240036010742
8,Single-Family Detached,63240,8.810759544372559
9,Multi-Family with 2 - 4 Units,326,1.9856799840927124
10,Single-Family Attached,5114,2.146359920501709
11,Single-Family Detached,40599,2.5855600833892822
12,Single-Family Attached,2125,1.2161200046539307
13,Single-Family Detached,48041,6.754240036010742
14,Multi-Family with 2 - 4 Units,178348,1.7655600309371948
15,Single-Family Detached,39198,5.774839878082275
16,Single-Family Detached,2512,6.21012020111084
17,Multi-Family with 2 - 4 Units,10403,1.8917200565338135
18,Single-Family Attached,1948,4.338240146636963
19,Single-Family Attached,2125,1.2161200046539307
20,Single-Family Detached,86867,4.402400016784668
21,Multi-Family with 2 - 4 Units,85457,2.0810399055480957
22,Single-Family Attached,5114,2.146359920501709
23,Single-Family Detached,63240,8.810759544372559
24,Single-Family Detached,40599,2.5855600833892822
25,Single-Family Detached,13892,4.3155598640441895
26,Single-Family Detached,80166,5.700520038604736
27,Multi-Family with 2 - 4 Units,13035,2.3756000995635986
28,Single-Family Detached,13892,4.3155598640441895
29,Single-Family Detached,86867,4.402400016784668
30,Multi-Family with 2 - 4 Units,50000,2.595439910888672
31,Single-Family Detached,33164,4.364439964294434
32,Single-Family Attached,5114,2.146359920501709
33,Single-Family Attached,2125,1.2161200046539307
34,Multi-Family with 2 - 4 Units,178348,1.7655600309371948
35,Single-Family Detached,13892,4.3155598640441895
36,Single-Family Detached,48041,6.754240036010742
37,Single-Family Detached,48041,6.754240036010742
38,Single-Family Detached,33164,4.364439964294434
39,Single-Family Attached,2125,1.2161200046539307
40,Single-Family Attached,822,1.7984800338745117
41,Single-Family Detached,48041,6.754240036010742
42,Single-Family Detached,80166,5.700520038604736
43,Single-Family Detached,48041,6.754240036010742
44,Single-Family Attached,2125,1.2161200046539307
45,Single-Family Detached,63240,8.810759544372559
46,Single-Family Attached,2125,1.2161200046539307
47,Single-Family Detached,33164,4.364439964294434
48,Single-Family Detached,63240,8.810759544372559
49,Single-Family Detached,8328,2.460400104522705
50,Single-Family Detached,86867,4.402400016784668
51,Single-Family Attached,2727,3.2841200828552246
52,Single-Family Detached,48041,6.754240036010742
53,Single-Family Detached,63240,8.810759544372559
54,Single-Family Attached,5114,2.146359920501709
55,Multi-Family with 2 - 4 Units,85457,2.0810399055480957
56,Single-Family Detached,80166,5.700520038604736
57,Single-Family Detached,42074,5.86076021194458
58,Single-Family Detached,33164,4.364439964294434
59,Single-Family Attached,5114,2.146359920501709
60,Single-Family Detached,13892,4.3155598640441895
61,Single-Family Attached,3710,4.342080116271973
62,Single-Family Detached,13892,4.3155598640441895
63,Single-Family Detached,63240,8.810759544372559
64,Single-Family Detached,80166,5.700520038604736
65,Multi-Family with 2 - 4 Units,13035,2.3756000995635986
66,Multi-Family with 2 - 4 Units,13035,2.3756000995635986
67,Single-Family Attached,2727,3.2841200828552246
68,Single-Family Detached,80166,5.700520038604736
69,Single-Family Detached,33164,4.364439964294434
70,Single-Family Attached,2125,1.2161200046539307
71,Single-Family Detached,27719,8.424920082092285
72,Single-Family Detached,42074,5.86076021194458
73,Single-Family Detached,63240,8.810759544372559
74,Single-Family Attached,822,1.7984800338745117
75,Single-Family Detached,42074,5.86076021194458
76,Single-Family Attached,822,1.7984800338745117
77,Single-Family Attached,1263,4.8429999351501465
78,Single-Family Detached,27162,1.7378400564193726
79,Single-Family Detached,86867,4.402400016784668
